original_filename,lab_sample_id,assigned_rid,method
000006_SWRO.pdf,30183119001,s:30183119001,metadata_cluster
000006_SWRO.pdf,6072754-01,s:6072754-01,metadata_cluster
000006_SWRO.pdf,6072754-02,s:6072754-01,metadata_cluster
000006_SWRO.pdf,6072754-03,s:6072754-01,metadata_cluster
000006_SWRO.pdf,6072755-01,s:6072754-01,metadata_cluster
000006_SWRO.pdf,6072755-02,s:6072754-01,metadata_cluster
000006_SWRO.pdf,6072755-03,s:6072754-01,metadata_cluster
000006_SWRO.pdf,9J12052-02,s:9J12052-02,metadata_cluster
000006_SWRO.pdf,1C02015-01,s:1C02015-01,metadata_cluster
000006_SWRO.pdf,1C15059-01,s:1C15059-01,metadata_cluster
000006_SWRO.pdf,1K12019-01,s:1K12019-01,metadata_cluster
000006_SWRO.pdf,1L03222-01,s:1L03222-01,metadata_cluster
000006_SWRO.pdf,1L30011-01,s:1L30011-01,metadata_cluster
000013_BKV 810 2023 FORM_26R reduced.pdf,AWB0391-01,s:AWB0391-01,single_report
000030_Jackson 1H_RWC810-26R_2022.pdf,1D13149-01,s:1D13149-01,metadata_cluster
000030_Jackson 1H_RWC810-26R_2022.pdf,1C19231-01,s:1C19231-01,metadata_cluster
000059_Swain Master Meter_RWC802-26R_2023.pdf,AWK3743-06,s:AWK3743-06,single_report
000060_COG NC 26R 2022 reports (1).pdf,30495368001,s:30495368001,single_report
000157_J147659-1 UDS Level 2 Report Final Report.pdf,180-147486-A-1-I DU,s:180-147486-A-1-I DU,single_report
000159_J148933-2 UDS Level 2 Report Final Report.pdf,180-184933-2,s:180-184933-2,single_report
000183_J154035-1 UDS Level 2 Report Final Report.pdf,LCS 180-431682/6,s:LCS 180-431682/6,single_report
000212_J159085-1 UDS Level 2 Report Rev(1) Final Report.pdf,180-159085-1,s:180-159085-1,single_report
000231_BKV 26R 802 2020.pdf,0072787-02,s:0072787-02,single_report
000232_BKV 26R 803 2020.pdf,30369084001,s:30369084001,single_report
000232_BKV 26R 803 2020.pdf,30369084002,s:30369084001,single_report
"000271_Duncan, C. 1 Brine ______.pdf",11 07418,s:11 07418,single_report
"000271_Duncan, C. 1 Brine ______.pdf",11 07420,s:11 07418,single_report
000274_J161974-1 UDS Level 2 Report Final Report.pdf,180-161973-A-3-B DU,s:180-161973-A-3-B DU,single_report
000289_804_BRA_WINDHAM_26R_2022.pdf,9B12014-01,s:9B12014-01,single_report
000312_J163432-1 UDS Level 2 Report Rev(1) Final Report.pdf,180-163349-H-2-A,s:180-163349-H-2-A,single_report
